id,version,set_num,name,year,theme_id,num_parts
1,1,7922-1,Weetabix Castle,1970,414,471
3,1,3931-1,Town Mini-Figures,1978,84,12
4,1,6942-1,Castle 2 for 1 Bonus Offer,1987,199,2
15,1,5158-1,Space Mini-Figures,1979,143,12
16,1,903-1,Space Mini-Figures,1979,143,12
17,1,850950-1,Space Mini-Figures,1979,143,12
19,1,4444-1,Space Mini-Figures,1979,143,18
21,1,3474-1,Castle Mini Figures,1978,186,15
22,1,30277-1,Weetabix Promotional House 1,1976,413,147
25,1,71012-11,Weetabix Promotional House 2,1976,413,149
26,1,6435-1,Weetabix Promotional Windmill,1976,413,126
27,1,3055-1,Basic Building Set in Cardboard,1965,366,35
28,1,7899-1,Special Offer,1985,67,3
29,1,1076-3,Weetabix Promotional Lego Village,1976,413,3
30,1,40107-1,Basic Building Set in Cardboard,1965,366,57
31,1,14-Apr,Basic Building Set,1968,366,77
32,1,4024-21,Basic Building Set,1968,366,145
33,1,6356-1,Basic Building Set,1968,366,110
34,1,71017-20,The Race to Build It Board Game,1999,502,70
35,1,5004559-1,Basic Building Set,1968,366,177
36,1,1756-1,Basic Building Set,1968,366,225
37,1,8931-1,Basic Building Set,1968,366,256
38,1,9385-1,Basic Building Set,1968,366,407
39,1,66512-1,Basic Building Set with Train,1967,366,710
40,1,6963-1,Super Set,1969,469,615
42,1,850760-1,Guarded Inn,2001,186,256
43,1,2000424-1,Metroliner,2001,233,785
45,1,40109-1,Railroad Club Car,2001,233,272
49,1,10071-1,1 x 2 Sand Red Bricks,2001,254,100
50,1,K4520-1,2 x 2 Sand Red Bricks,2001,254,100
51,1,7904-22,2 x 4 Sand Red Bricks,2001,254,50
52,1,6378-1,1 x 6 Sand Red Bricks,2001,254,50
54,1,4284-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25
55,1,6711-1,2 x 4 Roof Tile Sand Red,2001,254,50
56,1,4768-2,Assorted Blue Bricks,2001,254,62
58,1,75060-1,4.5V Motor with Wheels (Small Version),1966,243,16
60,1,1390-1,Assorted Yellow Bricks,2003,254,63
61,1,10128-1,Assorted Blue Plates,2001,254,42
62,1,30300-1,Assorted Yellow Plates,2001,254,42
63,1,6981-1,Open Freight Wagon,2001,238,121
64,1,6424-1,Caboose,2001,238,170
65,1,5920-1,Passenger Wagon,2001,238,194
67,1,6577-1,Tanker,2001,238,128
68,1,8103-1,Hopper Wagon,2001,238,228
69,1,2850829-1,Darth Maul,2001,158,1868
70,1,483-5,Rebel Blockade Runner - UCS,2001,174,1747
71,1,K7690-1,4.5V Motor with Wheels (Large Version),1966,243,27
73,1,70812-1,"Santa Fe Super Chief, NOT the Limited Edition",2002,236,427
74,1,6913-1,"Santa Fe Super Chief, Limited Edition",2002,236,433
76,1,10189-1,U.S.S. Constellation,2003,404,974
80,1,5827-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,237,410
81,1,65340-1,Master Builder Set,2002,324,112
82,1,4309-1,Red Baron,2002,276,669
83,1,4888-1,Santa Fe Cars - Set I (mail or baggage car),2002,237,325
84,1,6909-1,Naboo Starfighter - UCS,2002,172,187
86,1,525-1,Train Engine Shed,2003,239,670
87,1,5001925-1,Lunar Lander,2003,387,468
88,1,6455-1,Imperial Star Destroyer - UCS,2002,174,3115
89,1,75094-1,Pizza To Go,2002,75,150
91,1,9483-1,Breezeway Cafe,2002,75,194
92,1,6386-1,Black Falcon's Fortress,2002,186,431
94,1,8108-1,Black Seas Barracuda,2002,147,914
95,1,7575-18,"Main Street, Reissue",2003,85,639
96,1,10008-1,American Flag,2003,206,35
98,1,2856226-1,2x2 Electrical Plate,2002,254,1
99,1,521-15,Windows and Doors,2002,254,44
100,1,71217-1,Pillars and Beams,2002,254,13
101,1,8302-1,Brown Tiles,2002,254,100
102,1,8803-5,Light Gray Arches,2002,254,36
103,1,4411-1,Small Wheels and Axles,2002,254,61
104,1,K4103-1,Large Wheels and Axles,2002,254,31
105,1,6579-1,Gray Fences,2002,254,34
106,1,71007-6,Transparent Bricks,2002,254,50
110,1,657-1,Black Slopes 33,2003,254,44
111,1,991451-1,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68
112,1,4748-1,Black Slopes 33 3 x 1 and 3 x 3,2003,254,50
113,1,3027-1,White Plates 2 x n,2002,254,56
115,1,6167-1,Black Plates 2 x n,2002,254,56
116,1,561508-1,Red Plates 2 x n,2002,254,56
118,1,4449-1,Dark Green Plates 2 x n,2002,254,56
119,1,323-1,Light Gray Plates 2 x n,2002,254,56
122,1,66177-1,Black Plates 1 x n,2002,254,84
123,1,41135-1,Red Plates 1 x n,2002,254,84
125,1,2158-1,Dark Green Plates 1 x n,2002,254,84
126,1,970654-1,Light Gray Plates 1 x n,2002,254,84
127,1,2156-1,White Plates 1 x n,2002,254,84
128,1,4094-1,Castle Accessories,2002,255,41
131,1,66358-1,Mini-Fig Headgear,2002,254,53
132,1,6523-1,Santa Claus,2002,227,39
136,1,8223-1,Christmas Tree,2002,227,33
137,1,30301-1,Reindeer,2002,227,26
138,1,520-13,Mr. Bunny,2003,229,25
140,1,508-1,TECHNIC Beams,2003,256,56
142,1,3420-1,Bushes,2003,256,130
143,1,7138-1,Cross Axles,2003,256,68
145,1,41562-1,Spider-Man Action Pack,2002,488,25
146,1,18703535-1,TECHNIC Gear Wheels,2002,256,38
147,1,1141-1,TECHNIC Motor,2003,256,55
148,1,76008-1,Train Connection Wire,2003,257,1
151,1,7048-1,Snowman,2003,227,42
152,1,76015-1,Angel,2003,227,33
153,1,60018-1,Birthday Pack Heart,2004,500,70
154,1,3859-1,Birthday Pack Daisy,2004,500,70
155,1,10175-1,Birthday Pack Star,2004,500,70
158,1,702-3,Turkey,2003,231,54
159,1,7740-1,Snowflake,2006,227,107
162,1,5645-1,4.5V Battery Case,1969,243,1
163,1,30314-1,Foliferous Tree,2001,254,10
164,1,238-1,Bush,2001,254,25
165,1,2852724-1,Cypress Trees,2001,254,5
166,1,6745-1,2 x 2 Sand Red Roof Tiles,2001,254,100
168,1,1701-1,Jumper Bricks,2001,254,80
169,1,6299-13,Accessories Heart,2004,500,50
170,1,8831-0,Accessories Daisy,2004,500,50
171,1,610-1,Accessories Star,2004,500,50
172,1,8678-1,NBA Basketball Teams,2003,459,16
173,1,41065-1,Cloud City,2003,169,707
174,1,30286-1,Wright Flyer,2003,276,663
175,1,8622-1,NHL Action Set with Stickers,2003,461,56
177,1,8121-1,Train Level Crossing,2003,239,326
179,1,1413-1,Rebel Snowspeeder - UCS,2003,174,1456
180,1,7511-1,4.5V Battery Case,1966,243,1
182,1,8833-7,TIE Fighter Collection,2004,169,688
183,1,435-1,Motorized Hogwarts Express,2004,246,693
185,1,7904-20,Burlington Northern Santa Fe Locomotive,2004,236,400
186,1,60134-1,Y-wing Attack Starfighter - UCS,2004,174,1487
187,1,9749-1,Death Star II,2005,174,3460
188,1,21206-1,Sandcrawler,2005,169,1679
190,1,2824-18,Assorted Light Gray Bricks,2004,254,124
191,1,4559387-1,Assorted Dark Gray Bricks,2004,254,62
192,1,5831-1,Assorted Brown Bricks,2004,254,62
193,1,4024-15,Assorted Light Gray Plates,2004,254,84
194,1,comcon017-1,Assorted Dark Gray Plates,2004,254,42
196,1,7553-20,Assorted Brown Plates,2004,254,42
197,1,9871-1,Hot Rod,2004,278,420
198,1,21017-1,Maersk Sealand Container Ship 2004 Edition,2004,276,982
199,1,70209-1,Maersk Sealand Container Ship 2005 Edition,2005,276,982
203,1,Austin-1,Maersk Line Container Ship 2006 Edition,2006,276,982
204,1,20205-1,Electric Train Motor 9V (My Own Train),2002,244,3
206,1,5974-1,Maersk Line Container Ship 2010 Edition,2010,276,984
207,1,40092-1,LEGO Truck,2004,85,105
208,1,342-1,High Speed Train Locomotive,2004,239,134
209,1,970600-1,High Speed Train Car,2004,239,151
210,1,6395-1,City Airport -City Logo Box,2004,53,913
211,1,1136-1,City Airport -Full Size Image Box,2004,68,913
212,1,6585-1,Black Ridge Roof Tiles,2004,254,48
214,1,3715-1,Black Roof Tiles,2004,254,76
215,1,7875-1,Red Ridge Tiles,2004,254,48
216,1,1089-1,Red Roof Tiles,2004,254,76
217,1,6328-1,Elf Boy,2004,227,27
218,1,60034-1,Elf Girl,2004,227,31
220,1,2848-1,Brickmaster Kit (with Digital Designer CD),2004,301,182
221,1,1248-1,Mrs. Bunny,2005,229,64
222,1,8240-1,Chicken & Chicks,2005,229,60
224,1,71017-1,TTX Intermodal Double-Stack Car,2005,236,365
225,1,5391-1,Holiday Train,2006,236,969
226,1,LOC391412-1,Imperial AT-ST - UCS,2006,174,1070
227,1,7979-3,Vader's TIE Advanced - UCS,2006,174,1211
228,1,7907-9,Royal King's Castle,2006,197,871
229,1,1966-1,Boeing 787 Dreamliner,2006,276,1196
232,1,2152-1,Motorized Walking AT-AT,2007,169,1137
233,1,30281-1,Millennium Falcon - UCS,2007,174,5195
234,1,75046-1,Eiffel Tower 1:300 Scale,2007,276,3428
236,1,40080-1,Cafe Corner,2007,155,2058
238,1,6695-1,Hobby Train,2007,397,1080
239,1,21114-1,Town Plan,2008,104,2017
240,1,1821-1,Green Grocer,2008,155,2358
241,1,7687-15,General Grievous,2008,173,1084
242,1,6118-1,Volkswagen Beetle (VW Beetle),2008,276,1625
243,1,71220-1,Death Star,2008,174,3807
245,1,7662-1,Taj Mahal,2008,276,5922
246,1,4098-1,Market Street,2007,155,1250
248,1,20019-1,Star Justice,2008,397,884
250,1,5808-1,Space Skulls,2008,397,956
251,1,3886-3,Medieval Market Village,2009,193,1616
253,1,5004267-1,Emerald Night,2009,240,1089
254,1,8812-1,Republic Dropship with AT-OT,2009,165,1757
255,1,60024-3,Grand Carousel,2009,276,3260
256,1,630-1,Fire Brigade,2009,155,2236
258,1,8683-4,Tantive IV,2009,169,1408
259,1,70137-1,Winter Toy Shop,2009,227,815
262,1,7953-1,Universal Building Set,1976,469,129
263,1,7575-1,Custom Car Garage,2008,397,893
265,1,Nuremberg-1,Takutanuva,2003,347,3
267,1,40204-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,347,6
268,1,6007-1,Ultimate Dume,2004,347,3
269,1,60067-1,Voporak,2005,347,3
272,1,10528-1,Vezon & Kardas,2006,347,3
274,1,31-2,Locomotive,2002,238,231
275,1,C001-1,4.5V Motor Set,1968,243,24
276,1,8684-3,Imperial Flagship,2010,153,1623
279,1,21008-1,Grand Emporium,2010,155,2186
280,1,9614-1,Imperial Shuttle - UCS,2010,174,2502
282,1,850935-1,Shuttle Adventure,2010,276,1203
284,1,588-1,Supplemental Pack for Shuttle Adventure Set 10213,2010,443,29
285,1,851003-1,Tower Bridge,2010,276,4295
286,1,75056-12,Obi-Wan's Jedi Starfighter - UCS,2010,175,675
293,1,4696-1,Winter Village Bakery,2010,227,686
294,1,71005-4,Diagon Alley,2011,246,2031
295,1,lfv2-1,Pet Shop,2011,155,2034
297,1,10700-1,Maersk Container Train,2011,240,1232
299,1,71236-1,Volkswagen T1 Camper Van,2011,276,1333
300,1,3482-1,Super Star Destroyer,2011,174,3151
301,1,1462-1,Winter Village Post Office,2011,227,821
302,1,75033-1,Kingdoms Joust,2012,196,1574
303,1,6825-1,Town Hall,2012,155,2771
304,1,6687-1,R2-D2,2012,171,2130
305,1,6299-1,Sopwith Camel,2012,276,877
307,1,3746-1,B-wing Starfighter,2012,174,1484
308,1,4653-1,Haunted House,2012,558,2062
309,1,K4515-1,Winter Village Cottage,2012,227,1490
310,1,5036-1,Mini Modulars,2012,156,1358
311,1,10201-1,Shuttle Expedition,2011,276,1229
312,1,2250-1,Palace Cinema,2013,155,2192
313,1,7885-1,Horizon Express,2013,240,1349
315,1,816-1,Sydney Opera House,2013,276,2988
316,1,20208-1,Winter Village Market [Initial Release],2013,227,1259
317,1,09-Feb,Ewok Village,2013,169,2023
319,1,6479-1,The Tower of Orthanc,2013,568,2360
321,1,3641-1,Red Five X-Wing Starfighter,2013,174,1573
322,1,221-2,Maersk Line Triple-E,2014,38,1515
323,1,8010-1,Mini Cooper,2014,22,1074
324,1,39-1,Mini Cooper,2015,22,1076
325,1,3300014-1,Parisian Restaurant,2014,155,2469
326,1,1294-1,Fairground Mixer,2014,22,1743
327,1,7216-1,Santa’s Workshop,2014,228,882
328,1,4416-1,Adventurers Value Pack (TRU Exclusive),2001,297,3
330,1,10222-1,Detective’s Office,2015,155,2261
331,1,954-1,Ferris Wheel,2015,22,2463
332,1,4758-1,Ferrari F40,2015,22,1157
333,1,813-1,Winter Toy Shop,2015,227,895
334,1,71011-9,Year Of The Snake,2013,22,244
335,1,659-1,Brick Bank,2016,155,2383
336,1,10680-1,Volkswagen Beetle,2016,22,1166
337,1,1499-1,Big Ben,2016,43,4166
338,1,8942-2,Winter Holiday Train,2016,227,737
345,1,40021-1,Assembly Square,2017,155,4009
347,1,911618-1,Carousel,2017,22,2669
348,1,7165-1,Compass Sensor for Mindstorms NXT,2011,259,1
349,1,9462-1,Intelligent NXT Brick (Black),2009,259,1
350,1,6989-1,Milk Delivery Truck - Tine,1999,75,90
352,1,520-12,Front-End Loader,1970,416,64
353,1,5105-1,Front-End Loader,1970,416,56
354,1,7315-1,Locomotive Wheels,1977,456,8
355,1,4281-1,TECHNIC I: Simple Machines Set,1985,1,189
356,1,970630-1,4.5V Motor Set with Rubber Tracks,1969,473,24
357,1,9553-1,Building Cards - 1030,1983,532,20
358,1,42036-1,TECHNIC II Set {4.5v},1985,1,278
361,1,970617-1,Building Cards - 1032,1985,532,20
362,1,8649-1,Teachers Resource Set,1985,532,1534
363,1,837-1,ERBIE the Robo-Car,1985,1,120
364,1,1419-1,Manual Control Set 1,1986,1,39
369,1,71005-15,Replacement 4.5V Motor,1970,243,1
371,1,8593-1,Educational LEGO Building Set,1976,511,683
372,1,3833-1,Ships - 247 elements and 1 poster,1985,510,238
373,1,6734-1,Horse Stable,2013,504,44
